Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Notes,GPX File
2014-08-05 18:58:13,Running,,9.60,48:32,5:03,11.87,766.0,54,,,2014-08-05-1858.gpx
2014-08-03 18:18:11,Running,,12.00,1:00:17,5:01,11.94,972.0,167,,,2014-08-03-1818.gpx
2014-07-31 17:59:34,Running,,9.78,50:15,5:08,11.67,1211.0,1387,,,2014-07-31-1759.gpx
2014-07-29 19:05:15,Running,,9.04,44:08,4:53,12.29,1182.0,1397,,,2014-07-29-1905.gpx
2014-07-25 18:47:24,Running,,12.07,1:02:17,5:10,11.63,993.0,185,,,2014-07-25-1847.gpx
2014-07-23 18:43:14,Rowing,,6.60,30:00,4:33,13.20,376.833333333333,0,,,
2014-07-21 18:34:23,Running,,8.10,45:05,5:34,10.77,654.0,94,,,2014-07-21-1834.gpx
2014-07-16 19:01:18,Running,,9.92,51:10,5:10,11.63,814.0,151,,,2014-07-16-1901.gpx
2014-07-11 10:59:22,Running,,10.32,52:51,5:07,11.71,845.0,183,,,2014-07-11-1059.gpx
2014-07-07 20:11:00,Running,,10.04,50:14,5:00,11.99,814.0,158,,,2014-07-07-2011.gpx
2014-07-03 12:15:12,Running,,7.90,37:00,4:41,12.81,660.503333333333,0,,,
2014-06-29 11:30:11,Running,,11.50,55:00,4:47,12.55,957.758333333333,0,,,
2014-06-25 18:08:52,Running,,10.77,51:08,4:45,12.63,858.0,163,,,2014-06-25-1808.gpx
2014-06-10 19:34:59,Running,,10.22,45:08,4:25,13.59,762.0,151,,"Prêt pour dimanche ! ",2014-06-10-1934.gpx
2014-06-08 10:02:00,Running,,6.60,33:42,5:06,11.75,533.0,71,,,2014-06-08-1002.gpx
2014-06-05 15:51:16,Running,,6.18,30:00,4:51,12.36,460.0,0,,,
2014-06-02 17:44:25,Running,,10.42,56:04,5:23,11.15,835.0,109,,,2014-06-02-1744.gpx
2014-06-01 14:18:58,Running,,8.78,50:14,5:43,10.49,696.0,109,,,2014-06-01-1418.gpx
2014-05-30 12:45:37,Running,,14.07,1:17:18,5:30,10.92,1162.0,202,,,2014-05-30-1245.gpx
2014-05-28 18:30:41,Rowing,,10.00,45:46,4:35,13.11,571.256111111111,0,,,
2014-05-26 18:00:47,Running,,10.31,53:31,5:11,11.56,851.0,163,,,2014-05-26-1800.gpx
2014-05-20 20:25:28,Rowing,,6.47,30:06,4:39,12.90,370.067222222222,0,,,
2014-05-19 18:42:47,Running,,8.67,45:46,5:17,11.37,702.0,99,,,2014-05-19-1842.gpx
2014-05-16 17:16:20,Running,,5.84,30:00,5:08,11.68,476.965905245347,0,,,
2014-04-26 15:55:08,Running,,11.30,54:00,4:47,12.56,941.244166666667,0,,,
2014-04-14 18:55:53,Running,,10.55,53:03,5:02,11.93,870.0,171,,,2014-04-14-1855.gpx
2014-04-10 19:11:08,Rowing,,6.75,30:00,4:27,13.50,384.75,0,,,
2014-04-05 16:43:41,Running,,9.80,49:28,5:03,11.89,798.0,158,,,2014-04-05-1643.gpx
2014-04-01 20:22:08,Running,,3.50,20:00,5:43,10.50,286.946756152125,0,,"Profil cardio",
2014-04-01 20:19:02,Running,,0.00,0:00,,,0.0,0,,,
2014-04-01 20:19:02,Running,,0.00,0:00,,,0.0,0,,,
2014-04-01 18:18:59,Rowing,,6.62,30:00,4:32,13.24,377.888888888889,0,,,
2014-03-29 17:25:48,Running,,11.32,1:00:06,5:19,11.30,931.0,181,,,2014-03-29-1725.gpx
2014-03-26 19:43:44,Rowing,,6.44,30:00,4:40,12.88,513.0,0,,,
2014-03-16 17:32:24,Running,,12.30,1:03:43,5:11,11.58,1009.0,195,,,2014-03-16-1732.gpx
2014-03-10 18:23:02,Running,,10.59,54:55,5:11,11.57,857.0,184,,"Point de côté des le début. Très difficile d'avancer. ",2014-03-10-1823.gpx
2014-03-03 19:29:35,Running,,11.22,57:12,5:06,11.77,912.0,188,,"Point de côté dès le départ. Très difficile d'avancer. ",2014-03-03-1929.gpx
2014-02-26 18:30:45,Other,,6.48,30:00,4:38,12.96,515.0,0,,,
2014-02-13 19:15:35,Rowing,,7.19,35:00,4:52,12.33,837.9,0,,,
2014-02-10 18:27:57,Running,,10.02,50:37,5:03,11.88,820.0,170,,,2014-02-10-1827.gpx
2014-02-05 18:30:10,Rowing,,6.41,30:00,4:41,12.82,366.805555555555,0,,,
2014-02-03 18:19:46,Running,,9.93,51:19,5:10,11.61,818.0,173,,,2014-02-03-1819.gpx
2014-01-25 12:08:41,Running,,9.55,48:47,5:07,11.74,784.0,153,,,2014-01-25-1208.gpx
2013-12-16 18:34:29,Running,,9.37,47:51,5:06,11.75,742.0,157,,,2013-12-16-1834.gpx
2013-11-28 18:10:42,Running,,9.29,47:51,5:09,11.65,764.0,150,,,2013-11-28-1810.gpx
2013-10-14 18:21:24,Running,,9.41,48:41,5:10,11.60,776.0,168,,,2013-10-14-1821.gpx
2013-08-22 18:59:59,Running,,10.16,55:53,5:30,10.90,848.0,163,,,2013-08-22-1859.gpx
2012-09-26 18:48:29,Running,,16.70,1:32:00,5:31,10.89,1343.9,0,,,
2012-09-24 18:42:58,Running,,11.78,59:08,5:01,11.95,932.0,133,,,2012-09-24-1842.gpx
2012-09-19 19:00:44,Running,,13.11,1:03:08,4:49,12.46,983.0,134,,,2012-09-19-1900.gpx
2012-09-15 12:08:11,Running,,16.01,1:29:17,5:35,10.76,1269.0,179,,,2012-09-15-1208.gpx
2012-09-12 18:50:49,Running,,11.34,1:00:10,5:18,11.31,906.0,128,,,2012-09-12-1850.gpx
2012-09-08 14:46:46,Running,,10.38,58:45,5:39,10.60,844.0,162,,,2012-09-08-1446.gpx
2012-08-31 11:00:07,Running,,12.80,1:10:40,5:31,10.86,1112.0,185,,,2012-08-31-1100.gpx
2012-08-29 19:11:18,Running,,7.72,39:58,5:11,11.59,649.0,76,,,2012-08-29-1911.gpx
2012-08-27 18:28:54,Running,,8.54,45:14,5:18,11.33,731.0,144,,,2012-08-27-1828.gpx
